id,d0,d1,distance_calculations,is_core,cluster_id
0,660.976,304.225,160,0,1
1,636.213,306.174,160,0,1
2,662.753,307.565,155,0,1
3,657.487,307.74,157,0,1
4,635.273,308.157,160,0,1
5,640.484,309.592,166,0,1
6,660.523,309.613,160,0,1
7,658.759,312.594,162,1,1
8,674.821,315.093,153,0,1
9,649.17,316.174,157,1,1
10,631.858,316.908,164,0,1
11,673.506,317.648,155,0,1
12,637.439,318.289,162,1,1
13,644.003,320.565,146,1,1
14,622.679,320.843,181,0,1
15,655.504,320.916,162,1,1
16,626.318,321.78,168,0,1
17,633.245,322.492,168,1,1
18,678.36,323.472,145,0,1
19,637.081,323.619,159,1,1
20,653.079,324.434,160,1,1
21,639.035,324.523,149,1,1
22,680.978,324.669,133,0,1
23,644.647,325.905,156,1,1
24,652.268,326.389,160,1,1
25,665.755,327.567,155,1,1
26,675.27,327.608,145,0,1
27,631.213,327.95,169,1,1
28,643.6,328.542,157,1,1
29,668.535,329.06,155,1,1
30,658.985,329.159,159,1,1
31,651.423,329.337,163,1,1
32,646.127,329.862,156,1,1
33,683.672,330.534,120,0,1
34,666.442,331.637,156,1,1
35,682.478,331.858,121,0,1
36,640.783,333.145,154,1,1
37,649.948,333.168,162,1,1
38,663.551,333.265,154,1,1
39,624.463,333.342,164,1,1
40,645.513,334.213,155,1,1
41,632.527,334.935,154,1,1
42,639.959,335.242,153,1,1
43,670.422,336.607,143,1,1
44,647.217,340.107,159,1,1
45,685.94,340.389,108,0,1
46,620.777,341.34,162,0,1
47,618.936,341.409,164,0,1
48,679.985,341.547,116,0,1
49,627.324,341.603,160,1,1
50,639.416,342.035,155,1,1
51,622.928,342.459,168,0,1
52,662.056,342.529,156,1,1
53,676.484,342.75,122,0,1
54,642.366,345.063,160,1,1
55,639.621,345.609,155,1,1
56,630.04,346.568,146,1,1
57,646.7,346.681,156,1,1
58,625.209,346.771,161,0,1
59,650.768,347.282,159,1,1
60,672.056,347.548,128,1,1
61,629.259,347.766,149,1,1
62,654.751,347.881,160,1,1
63,656.628,348.501,155,1,1
64,660.134,348.671,152,1,1
65,667.984,349.415,143,1,1
66,642.738,349.951,159,1,1
67,652.024,349.986,153,1,1
68,671.291,350.525,125,1,1
69,637.791,350.903,157,1,1
70,649.556,351.032,157,1,1
71,654.517,352.398,154,1,1
72,659.838,353.262,153,1,1
73,648.966,356.048,153,1,1
74,669.789,357.397,122,0,1
75,665.373,359.929,133,0,1
76,624.855,360.424,146,0,1
77,662.42,360.72,145,0,1
78,626.761,363.811,158,0,1
79,667.14,364.033,121,0,1
80,637.609,364.503,156,0,1
81,648.763,364.824,155,0,1
82,638.583,365.65,157,0,1
83,666.254,366.738,121,0,1
84,653.469,370.728,146,0,1
85,650.43,371.572,153,0,1
86,661.43,372.276,122,0,1
87,153.879,308.064,253,0,2
88,178.29,308.199,253,0,2
89,166.838,308.485,258,0,2
90,153.41,309.122,255,0,2
91,153.636,309.867,256,0,2
92,148.658,310.898,253,0,2
93,170.83,311.777,252,0,2
94,181.997,312.281,256,0,2
95,151.534,315.214,252,0,2
96,158.234,316.942,256,1,2
97,156.903,318.774,253,1,2
98,131.505,318.993,253,0,2
99,171.829,319.959,257,1,2
100,188.385,321.231,265,0,2
101,175.094,321.902,263,1,2
102,149.332,322.096,255,1,2
103,132.401,322.735,257,0,2
104,150.449,322.89,252,1,2
105,172.762,324.576,258,1,2
106,178.86,324.684,265,1,2
107,129.898,326.107,253,0,2
108,140.855,327.583,252,1,2
109,167.174,328.263,257,1,2
110,163.921,328.34,263,1,2
111,145.897,328.558,253,1,2
112,180.488,328.618,259,1,2
113,125.823,328.684,260,0,2
114,154.945,329.416,256,1,2
115,188.031,330.014,246,1,2
116,174.682,330.318,265,1,2
117,162.439,330.402,257,1,2
118,128.484,330.468,259,0,2
119,156.03,330.695,262,1,2
120,187.152,331.229,244,1,2
121,168.092,331.83,264,1,2
122,129.107,332.022,252,0,2
123,129.6,333.61,253,0,2
124,158.713,334.341,259,1,2
125,169.774,334.662,261,1,2
126,191.52,334.977,229,0,2
127,133.87,335.02,255,0,2
128,160.971,335.471,264,1,2
129,185.668,335.604,240,1,2
130,200.468,335.644,226,0,2
131,164.317,335.97,265,1,2
132,142.494,336.65,258,1,2
133,197.979,337.757,230,0,2
134,192.739,338.016,224,0,2
135,123.22,338.794,253,0,2
136,132.062,338.832,254,0,2
137,184.485,339.211,229,1,2
138,162.725,339.915,255,1,2
139,136.333,340.328,261,1,2
140,167.759,340.476,246,1,2
141,188.627,340.491,225,1,2
142,166.321,342.129,249,1,2
143,159.853,342.331,256,1,2
144,193.875,342.382,223,0,2
145,152.072,342.404,267,1,2
146,197.029,342.743,222,0,2
147,132.796,343.359,261,0,2
148,176.53,343.547,231,1,2
149,179.363,343.574,226,1,2
150,178.037,343.672,227,1,2
151,152.655,345.182,257,1,2
152,165.121,345.513,239,1,2
153,162.034,345.997,243,1,2
154,125.206,346.962,261,0,2
155,171.972,349.879,225,1,2
156,191.181,349.959,207,0,2
157,161.773,350.404,236,1,2
158,168.823,350.884,221,1,2
159,127.327,350.908,265,0,2
160,182.901,351.725,218,1,2
161,183.617,352.579,210,1,2
162,175.568,353.932,223,1,2
163,156.466,354.278,228,1,2
164,159.181,354.447,228,1,2
165,184.109,355.875,207,1,2
166,144.133,356.156,240,1,2
167,163.283,357.159,230,1,2
168,174.195,357.187,212,1,2
169,185.038,359.301,199,1,2
170,146.451,359.416,227,1,2
171,142.978,361.95,224,1,2
172,134.443,361.955,237,0,2
173,194.452,363.123,177,0,2
174,144.727,363.41,223,1,2
175,172.193,364.859,201,1,2
176,142.127,365.116,228,0,2
177,186.492,366.136,182,0,2
178,163.71,366.165,207,1,2
179,154.581,366.177,218,1,2
180,141.478,367.346,231,0,2
181,139.807,367.959,231,0,2
182,147.813,369.185,218,0,2
183,138.191,369.528,226,0,2
184,156.592,370.709,204,1,2
185,138.571,371.407,222,0,2
186,176.65,371.485,181,0,2
187,157.497,371.658,203,1,2
188,183.168,372.223,172,0,2
189,170.311,372.819,188,1,2
190,181.366,373.854,169,0,2
191,151.856,375.167,201,1,2
192,165.883,375.174,187,0,2
193,177.629,375.408,171,0,2
194,155.613,377.032,191,1,2
195,152.479,377.285,195,0,2
196,155.358,377.929,190,1,2
197,179.727,378.364,162,0,2
198,147.366,379.114,194,0,2
199,162.91,380.567,172,0,2
200,337.718,305.692,256,0,3
201,338.624,306.106,261,0,3
202,329.298,307.033,241,0,3
203,322.76,307.044,218,0,3
204,342.994,310.67,288,1,3
205,351.887,311.603,308,0,3
206,333.539,311.89,262,0,3
207,333.868,312.928,261,0,3
208,319.884,313.587,233,0,3
209,335.147,314.891,271,1,3
210,321.18,315.663,240,0,3
211,325.111,316.065,251,0,3
212,328.436,316.801,256,1,3
213,356.246,320.109,312,0,3
214,357.739,321.053,308,0,3
215,341.53,321.295,301,1,3
216,309.119,321.986,217,0,3
217,367.37,322.193,302,0,3
218,314.309,322.429,237,1,3
219,324.706,322.709,261,1,3
220,315.665,323.192,242,1,3
221,350.748,323.821,313,1,3
222,366.213,324.547,304,0,3
223,369.885,325.104,298,0,3
224,345.193,326.957,309,1,3
225,323.167,328.544,272,1,3
226,352.146,328.862,307,1,3
227,353.396,329.17,306,1,3
228,319.294,329.545,262,1,3
229,332.038,329.567,299,1,3
230,334.586,329.567,300,1,3
231,355.725,329.737,306,1,3
232,364.513,330.463,301,1,3
233,376.024,330.619,281,0,3
234,371.565,331.405,286,0,3
235,345.661,333.121,314,1,3
236,342.261,333.749,313,1,3
237,320.544,334.019,283,1,3
238,370.213,334.867,278,0,3
239,371.977,335.02,279,0,3
240,336.719,335.237,313,1,3
241,359.632,336.229,303,1,3
242,330.693,336.872,309,1,3
243,303.768,337.46,245,0,3
244,344.49,338.303,307,1,3
245,323.992,338.852,299,1,3
246,343.402,339.059,307,1,3
247,334.993,339.566,309,1,3
248,318.342,340.531,292,1,3
249,311.678,340.689,271,1,3
250,307.329,340.702,261,0,3
251,373.097,340.763,284,0,3
252,354.668,341.4,305,1,3
253,368.188,341.876,282,0,3
254,342.46,342.193,302,1,3
255,295.095,342.319,239,0,3
256,349.378,342.593,304,1,3
257,331.047,343.179,309,1,3
258,304.788,343.217,261,0,3
259,306.04,344.25,263,1,3
260,371.168,345.096,278,0,3
261,300.119,345.111,253,0,3
262,357.02,345.129,288,1,3
263,318.411,345.202,299,1,3
264,310.511,345.281,285,1,3
265,312.171,345.928,289,1,3
266,338.189,348.672,305,1,3
267,312.98,349.579,299,1,3
268,361.789,349.989,280,0,3
269,328.638,350.035,313,1,3
270,301.754,350.545,274,0,3
271,336.078,350.882,305,1,3
272,340.122,351.188,304,1,3
273,349.132,351.455,291,1,3
274,361.162,352.626,281,0,3
275,316.539,353.64,314,1,3
276,327.318,353.692,311,1,3
277,316.021,354.83,314,1,3
278,368.832,354.848,278,0,3
279,362.763,354.907,279,0,3
280,338.883,358.015,300,1,3
281,326.846,358.512,303,1,3
282,365.499,359.163,277,0,3
283,341.805,361.755,288,1,3
284,309.967,361.84,314,1,3
285,337.131,362.059,299,1,3
286,330.765,363.646,303,1,3
287,308.677,364.606,312,0,3
288,304.473,365.008,315,0,3
289,309.395,365.09,309,1,3
290,314.833,365.398,314,1,3
291,308.096,366.369,309,0,3
292,346.037,366.652,282,0,3
293,339.705,367.928,282,0,3
294,317.885,368.544,305,0,3
295,340.258,369.252,277,0,3
296,343.329,369.994,280,0,3
297,347.617,370.365,283,0,3
298,315.049,372.453,306,0,3
299,351.49,372.812,281,0,3
300,321.703,372.978,304,0,3
301,327.576,373.535,291,1,3
302,313.86,374.769,306,0,3
303,358.554,376.035,267,0,3
304,345.291,376.266,279,0,3
305,322.171,376.74,299,0,3
306,331.361,377.574,279,0,3
307,349.633,380.861,278,0,3
308,326.059,381.239,282,0,3
309,321.474,383.121,285,0,3
310,465.741,40.127,303,0,4
311,482.456,41.754,280,0,4
312,477.011,43.279,280,0,4
313,476.6,45.718,278,0,4
314,488.985,46.419,277,0,4
315,490.389,46.649,279,0,4
316,459.989,48.062,308,0,4
317,451.672,48.477,309,0,4
318,447.604,51.804,315,0,4
319,456.12,52.193,311,1,4
320,447.401,52.68,315,0,4
321,489.694,53.469,277,0,4
322,489.323,53.989,277,0,4
323,474.738,54.167,278,1,4
324,468.284,54.237,299,1,4
325,487.319,54.287,279,1,4
326,478.584,54.568,279,1,4
327,517.589,55.822,266,0,4
328,490.101,56.147,278,1,4
329,516.314,56.174,262,0,4
330,453.824,56.455,315,1,4
331,464.638,57.017,303,1,4
332,445.339,57.294,309,1,4
333,507.47,57.687,258,1,4
334,480.505,59.468,284,1,4
335,454.31,59.578,312,1,4
336,446.989,60.668,313,1,4
337,520.495,60.697,266,0,4
338,457.219,61.058,307,1,4
339,501.55,61.489,264,1,4
340,508.426,61.924,262,1,4
341,447.115,62.044,315,1,4
342,442.165,62.166,299,1,4
343,498.974,62.522,272,1,4
344,463.971,62.675,303,1,4
345,519.726,64.114,263,0,4
346,467.813,64.479,299,1,4
347,509.907,64.625,260,1,4
348,515.12,66.087,259,1,4
349,485.224,67.012,284,1,4
350,452.837,67.247,313,1,4
351,502.674,67.575,261,1,4
352,523.466,67.773,259,1,4
353,488.187,67.923,277,1,4
354,504.803,68.302,260,1,4
355,466.572,68.819,305,1,4
356,461.595,69.35,302,1,4
357,473.674,69.556,279,1,4
358,431.04,69.589,262,0,4
359,456.452,70.104,308,1,4
360,450.642,70.156,308,1,4
361,500.674,70.16,266,1,4
362,494.982,70.178,267,1,4
363,512.411,71.274,263,1,4
364,461.568,72.37,303,1,4
365,504.405,73.147,261,1,4
366,449.195,73.234,311,1,4
367,524.047,73.32,256,1,4
368,444.002,73.804,307,1,4
369,503.446,73.822,263,1,4
370,490.326,74.669,275,1,4
371,444.186,74.773,308,1,4
372,443.042,75.007,303,1,4
373,476.081,75.411,279,1,4
374,443.575,75.477,302,1,4
375,516.205,77.533,265,1,4
376,484.653,78.147,280,1,4
377,455.329,78.197,309,1,4
378,459.305,78.72,305,1,4
379,495.572,78.745,277,1,4
380,425.956,78.906,246,0,4
381,526.738,80.445,250,0,4
382,528.601,80.789,252,0,4
